Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
14-Jan,377251.3784,157097.3686,91062.48197,73162.609,21633.79467,17911.21433,1375.15155
14-Feb,324347.0162,143294.4875,75945.20996,62638.95,17396.12893,14008.66045,1498.82093
14-Mar,331820.9692,136442.6013,78154.34115,62397.08,24257.12925,17735.8829,2224.12366
14-Apr,297628.2622,109280.5917,76784.84902,56384.588,25439.90661,18635.54917,2475.52102
14-May,324719.3071,118785.8006,89120.78275,62947.43,26543.88511,15601.36684,2841.66641
14-Jun,357840.1785,137576.9215,98469.55616,68138.232,25743.87767,15798.81712,3023.8867
14-Jul,385775.4499,149627.0576,115083.4461,71940.126,24357.40238,12187.39242,2936.22665
14-Aug,384336.5606,148451.6233,122350.0053,71128.746,19807.24668,10170.52076,3018.61669
14-Sep,339882.6659,126110.3846,106583.6804,67534.5,16074.32674,11519.76842,2878.62126
14-Oct,314518.0088,111295.9575,97684.69687,62390.988,17159.21225,14507.93111,2681.80098
14-Nov,317491.3645,119127.4394,84355.8568,65140.185,18624.92296,18866.92881,2171.44148
14-Dec,337952.9806,124620.1162,91040.2099,73362.548,22328.78862,14711.24947,1797.81256
15-Jan,360449.2625,132450.5207,101687.3926,74269.974,24138.3839,15162.14633,1901.79647
15-Feb,334470.607,126976.832,91315.16471,63461.493,22286.07601,14921.54534,2299.31836
15-Mar,324186.0921,108487.5386,99422.71998,64546.799,24280.90476,15307.92894,3205.83426
15-Apr,294127.6393,88989.1425,92805.99824,59784.495,22470.97723,17867.14921,3642.64641
15-May,322080.7584,104584.5267,101516.3545,65826.525,20125.4156,17151.34131,3897.98556
15-Jun,362403.0044,125673.1137,121477.7492,68516.165,20414.084,13421.26619,3965.61172
15-Jul,400412.4026,139099.8686,141119.0813,71412.176,21014.22144,13675.44937,4113.74514
15-Aug,392109.5875,134670.3089,139083.7544,72415.352,19122.10511,13080.02756,4155.60157
15-Sep,350115.3173,117985.6322,123035.9224,66476.372,16094.1224,13971.56651,3546.77556
15-Oct,312105.7017,96758.50415,110005.039,60570.921,16630.40155,16380.03853,3107.28733
15-Nov,300646.8073,87227.13603,102236.2548,60263.941,19337.83088,19681.71564,2711.70957
15-Dec,324420.6996,89495.07284,109776.6789,69633.664,23165.56195,20098.37277,2483.85893
16-Jan,352713.7194,113459.3798,110043.7467,72524.775,25614.54233,18466.40151,2465.40732
16-Feb,313680.3803,92704.80797,98552.17908,65638.141,24139.01548,20138.2278,3386.13613
16-Mar,304384.2369,72172.52681,103889.9376,66148.894,27389.8772,21939.40933,4142.59215
16-Apr,292888.7456,72112.8619,98875.9473,62731.845,25878.02878,20799.30345,4582.61853
16-May,316778.6514,81694.51025,110430.1923,66576.493,25486.38143,18847.89867,5304.17484
16-Jun,367775.7738,116034.3841,131395.2291,67175.324,23236.86739,16303.4413,5401.26493
16-Jul,411881.0731,136316.434,151553.872,70349.347,21455.32093,17618.35712,5945.07716
16-Aug,409695.034,135634.7333,154759.6732,71526.405,19569.54914,13589.32615,5910.82805
16-Sep,351479.3328,114137.7683,125602.7398,65448.176,16367.68403,16403.64017,5370.44767
16-Oct,312939.7279,99193.94367,102897.9861,60733.343,17338.85654,20335.38978,4743.28769
16-Nov,297056.2628,86940.46241,93941.8345,65178.776,18808.26528,19405.64211,4023.9887
16-Dec,345336.8745,118746.8419,96363.59628,71662.429,22527.76456,23145.52474,3590.66861
17-Jan,344324.9517,115332.8083,95572.22908,73120.612,26627.88134,20798.77101,3570.01671
17-Feb,291043.3141,86822.18986,82767.65084,63560.371,23881.76459,22091.10927,4135.35386
17-Mar,319328.7421,89364.62027,95073.66171,65093.2,29613.19463,25730.61672,6486.54205
17-Apr,295354.2492,81335.3131,88455.10059,56743.352,29409.46563,25377.94296,7101.80352
17-May,323439.2167,92776.54135,98019.31124,61312.753,32607.11514,23067.63856,8208.21502
17-Jun,358514.3102,107508.3222,117235.7009,67010.782,30575.29559,20141.74696,8602.15011
17-Jul,404424.6458,127697.8203,146929.4385,71314.219,26598.24651,16119.99604,8123.75179
